"id","municipio","codigo_municipio","id_departamento"
1,CANTAGALLO,13160,8
2,PIEDECUESTA,68547,18
3,MADRID,25430,3
4,BARRANQUILLA,8001,23
5,MANIZALES,17001,5
6,CHINÚ,23182,12
7,MALAMBO,8433,23
8,CIÉNAGA,47189,21
9,LOS SANTOS,68418,18
10,INÍRIDA,94001,16
11,SOLEDAD,8758,23
12,UNGUÍA,27800,25
13,CHIRIGUANÁ,20178,13
14,CARTAGO,76147,9
15,LA DORADA,17380,5
16,EL PASO,20250,13
17,FLANDES,73275,6
18,CARTAGENA DE INDIAS,13001,8
19,LA ESPERANZA,54385,22
20,SAN JOSÉ DE CÚCUTA,54001,22
21,RIONEGRO,5615,26
22,SAN SEBASTIÁN DE MARIQUITA,73443,6
23,SABANALARGA,8638,23
24,PUERTO TEJADA,19573,14
25,SAN JOSÉ DE TOLUVIEJO,70823,24
26,TUNJA,15001,2
27,GALAPA,8296,23
28,BARRANCABERMEJA,68081,18
29,VILLANUEVA,85440,1
30,MANATÍ,8436,23
31,ANDALUCÍA,76036,9
32,POPAYÁN,19001,14
33,SUESCA,25772,3
34,GUADUAS,25320,3
35,MEDELLÍN,5001,26
36,SESQUILÉ,25736,3
37,ESPINAL,73268,6
38,URIBIA,44847,10
40,ZARZAL,76895,9
41,NEIVA,41001,17
42,VILLAVICENCIO,50001,20
43,SAN LUIS DE SINCÉ,70742,24
44,AGUACHICA,20011,13
45,SANTA ROSA,13683,8
46,BOGOTÁ D.C.,11001,4
47,LA GLORIA,20383,13
48,PUERTO GAITÁN,50568,20
49,IBAGUÉ,73001,6
50,CANDELARIA,76130,9
51,ARJONA,13052,8
52,YAGUARÁ,41885,17
53,SAN BENITO ABAD,70678,24
54,SOACHA,25754,3
55,POLONUEVO,8558,23
56,PUERTO NARE,5585,26
57,CIMITARRA,68190,18
58,TULUÁ,76834,9
59,SANTA CATALINA,13673,8
60,GINEBRA,76306,9
61,ARAUCA,81001,15
62,ZONA BANANERA,47980,21
63,ARMENIA,63001,19
64,PLANETA RICA,23555,12
65,YOPAL,85001,1
66,BARANOA,8078,23
67,MONTERÍA,23001,12
69,CASTILLA LA NUEVA,50150,20
70,MELGAR,73449,6
71,MAICAO,44430,10
72,YUMBO,76892,9
73,PEREIRA,66001,7
74,GIRARDOTA,5308,26
75,SAN ANDRÉS,88001,11
76,ARMERO,73055,6
78,SOPÓ,25758,3
79,FUNDACIÓN,47288,21
80,CALI,76001,9
81,ALVARADO,73026,6
39,CUCUTA,54,22
68,MONTERIA,23,12
77,CALI,76,9
